"custom_step","distinctive-blaze-187 - _step","distinctive-blaze-187 - _step__MIN","distinctive-blaze-187 - _step__MAX","distinctive-blaze-187 - train_metrics/Weighted_Average73","distinctive-blaze-187 - train_metrics/Weighted_Average73__MIN","distinctive-blaze-187 - train_metrics/Weighted_Average73__MAX"
"69000000","68","68","68","0.8604597771502764","0.8604597771502764","0.8604597771502764"
"70000000","69","69","69","0.8590286880951472","0.8590286880951472","0.8590286880951472"
"71000000","70","70","70","0.8550228397820517","0.8550228397820517","0.8550228397820517"
"72000000","71","71","71","0.8601253423690163","0.8601253423690163","0.8601253423690163"
"73000000","72","72","72","0.8651755110908428","0.8651755110908428","0.8651755110908428"
"74000000","73","73","73","0.8612113554750216","0.8612113554750216","0.8612113554750216"
"75000000","74","74","74","0.8630977569527505","0.8630977569527505","0.8630977569527505"
"76000000","75","75","75","0.8621531189683205","0.8621531189683205","0.8621531189683205"
"77000000","76","76","76","0.8613430703517132","0.8613430703517132","0.8613430703517132"
"78000000","77","77","77","0.8614935651043205","0.8614935651043205","0.8614935651043205"
"79000000","78","78","78","0.868303152517085","0.868303152517085","0.868303152517085"
