"custom_step","drawn-forest-186 - _step","drawn-forest-186 - _step__MIN","drawn-forest-186 - _step__MAX","drawn-forest-186 - train_metrics/Weighted_Average73","drawn-forest-186 - train_metrics/Weighted_Average73__MIN","drawn-forest-186 - train_metrics/Weighted_Average73__MAX"
"83000000","82","82","82","0.8709501949895195","0.8709501949895195","0.8709501949895195"
"84000000","83","83","83","0.8685124864987306","0.8685124864987306","0.8685124864987306"
"85000000","84","84","84","0.8709031439410906","0.8709031439410906","0.8709031439410906"
"86000000","85","85","85","0.8682306026190625","0.8682306026190625","0.8682306026190625"
"87000000","86","86","86","0.870536362118035","0.870536362118035","0.870536362118035"
"88000000","87","87","87","0.8694181048591216","0.8694181048591216","0.8694181048591216"
"89000000","88","88","88","0.8706452028633452","0.8706452028633452","0.8706452028633452"
"90000000","89","89","89","0.8736304108780574","0.8736304108780574","0.8736304108780574"
"91000000","90","90","90","0.8743029029704159","0.8743029029704159","0.8743029029704159"
"92000000","91","91","91","0.8711320824341652","0.8711320824341652","0.8711320824341652"
"93000000","92","92","92","0.8679875236189661","0.8679875236189661","0.8679875236189661"
"94000000","93","93","93","0.8729810556798344","0.8729810556798344","0.8729810556798344"
"95000000","94","94","94","0.8679163068824797","0.8679163068824797","0.8679163068824797"
"96000000","95","95","95","0.8732707159357105","0.8732707159357105","0.8732707159357105"
"97000000","96","96","96","0.8743274143587489","0.8743274143587489","0.8743274143587489"
"98000000","97","97","97","0.8732596907432126","0.8732596907432126","0.8732596907432126"
"99000000","98","98","98","0.8697376534596304","0.8697376534596304","0.8697376534596304"
"100000000","99","99","99","0.8754850321465406","0.8754850321465406","0.8754850321465406"
