"custom_step","deep-bush-181 - _step","deep-bush-181 - _step__MIN","deep-bush-181 - _step__MAX","deep-bush-181 - train_metrics/Usefulness","deep-bush-181 - train_metrics/Usefulness__MIN","deep-bush-181 - train_metrics/Usefulness__MAX"
"83000000","82","82","82","0.8832403484063927","0.8832403484063927","0.8832403484063927"
"84000000","83","83","83","0.8798244587440347","0.8798244587440347","0.8798244587440347"
"85000000","84","84","84","0.8752538364815556","0.8752538364815556","0.8752538364815556"
"86000000","85","85","85","0.8809865011751771","0.8809865011751771","0.8809865011751771"
"87000000","86","86","86","0.8823387178737881","0.8823387178737881","0.8823387178737881"
"88000000","87","87","87","0.8852531732353268","0.8852531732353268","0.8852531732353268"
"89000000","88","88","88","0.8803569997018689","0.8803569997018689","0.8803569997018689"
"90000000","89","89","89","0.8836383018686639","0.8836383018686639","0.8836383018686639"
"91000000","90","90","90","0.8879113193804742","0.8879113193804742","0.8879113193804742"
"92000000","91","91","91","0.8839478136904516","0.8839478136904516","0.8839478136904516"
"93000000","92","92","92","0.8832363894144275","0.8832363894144275","0.8832363894144275"
"94000000","93","93","93","0.88132933225324","0.88132933225324","0.88132933225324"
"95000000","94","94","94","0.8845508347481379","0.8845508347481379","0.8845508347481379"
"96000000","95","95","95","0.8845223759181898","0.8845223759181898","0.8845223759181898"
"97000000","96","96","96","0.8896846866752574","0.8896846866752574","0.8896846866752574"
"98000000","97","97","97","0.8865070949230138","0.8865070949230138","0.8865070949230138"
"99000000","98","98","98","0.8842937043921189","0.8842937043921189","0.8842937043921189"
"100000000","99","99","99","0.8827723615810762","0.8827723615810762","0.8827723615810762"
