"custom_step","sleek-rain-188 - _step","sleek-rain-188 - _step__MIN","sleek-rain-188 - _step__MAX","sleek-rain-188 - train_metrics/Usefulness","sleek-rain-188 - train_metrics/Usefulness__MIN","sleek-rain-188 - train_metrics/Usefulness__MAX"
"52000000","51","51","51","0.8603862991290117","0.8603862991290117","0.8603862991290117"
"53000000","52","52","52","0.8604323167830279","0.8604323167830279","0.8604323167830279"
"54000000","53","53","53","0.8639879353489899","0.8639879353489899","0.8639879353489899"
"55000000","54","54","54","0.8622770271362509","0.8622770271362509","0.8622770271362509"
"56000000","55","55","55","0.8631431910886364","0.8631431910886364","0.8631431910886364"
"57000000","56","56","56","0.8660821472919845","0.8660821472919845","0.8660821472919845"
"58000000","57","57","57","0.8665363167845839","0.8665363167845839","0.8665363167845839"
"59000000","58","58","58","0.8630088474407307","0.8630088474407307","0.8630088474407307"
"60000000","59","59","59","0.865598622289741","0.865598622289741","0.865598622289741"
"61000000","60","60","60","0.8707577639450241","0.8707577639450241","0.8707577639450241"
"62000000","61","61","61","0.864252540032465","0.864252540032465","0.864252540032465"
"63000000","62","62","62","0.8704238018832129","0.8704238018832129","0.8704238018832129"
"64000000","63","63","63","0.8695845203219713","0.8695845203219713","0.8695845203219713"
"65000000","64","64","64","0.872019728717125","0.872019728717125","0.872019728717125"
"66000000","65","65","65","0.8688103430088076","0.8688103430088076","0.8688103430088076"
"67000000","66","66","66","0.8706210696732788","0.8706210696732788","0.8706210696732788"
"68000000","67","67","67","0.8675211174284815","0.8675211174284815","0.8675211174284815"
"69000000","68","68","68","0.8715748064199501","0.8715748064199501","0.8715748064199501"
"70000000","69","69","69","0.871728416391127","0.871728416391127","0.871728416391127"
"71000000","70","70","70","0.872686323029062","0.872686323029062","0.872686323029062"
"72000000","71","71","71","0.8680331925595213","0.8680331925595213","0.8680331925595213"
"73000000","72","72","72","0.877550955057759","0.877550955057759","0.877550955057759"
"74000000","73","73","73","0.8791933943326831","0.8791933943326831","0.8791933943326831"
"75000000","74","74","74","0.8792838698770123","0.8792838698770123","0.8792838698770123"
"76000000","75","75","75","0.8750252420692317","0.8750252420692317","0.8750252420692317"
"77000000","76","76","76","0.880406834590622","0.880406834590622","0.880406834590622"
