"custom_step","distinctive-blaze-187 - _step","distinctive-blaze-187 - _step__MIN","distinctive-blaze-187 - _step__MAX","distinctive-blaze-187 - train_metrics/Usefulness","distinctive-blaze-187 - train_metrics/Usefulness__MIN","distinctive-blaze-187 - train_metrics/Usefulness__MAX"
"77000000","76","76","76","0.8733888151529459","0.8733888151529459","0.8733888151529459"
"78000000","77","77","77","0.8728021679482459","0.8728021679482459","0.8728021679482459"
"79000000","78","78","78","0.8796812950980578","0.8796812950980578","0.8796812950980578"
"80000000","79","79","79","0.8720170055619723","0.8720170055619723","0.8720170055619723"
"81000000","80","80","80","0.8810395199458672","0.8810395199458672","0.8810395199458672"
"82000000","81","81","81","0.8763602258608103","0.8763602258608103","0.8763602258608103"
"83000000","82","82","82","0.881063109246225","0.881063109246225","0.881063109246225"
"84000000","83","83","83","0.8831539876703743","0.8831539876703743","0.8831539876703743"
"85000000","84","84","84","0.8796520020273332","0.8796520020273332","0.8796520020273332"
"86000000","85","85","85","0.8830710020375542","0.8830710020375542","0.8830710020375542"
"87000000","86","86","86","0.8803436412352406","0.8803436412352406","0.8803436412352406"
"88000000","87","87","87","0.8781707279349307","0.8781707279349307","0.8781707279349307"
"89000000","88","88","88","0.8735011045138763","0.8735011045138763","0.8735011045138763"
"90000000","89","89","89","0.8736428041474157","0.8736428041474157","0.8736428041474157"
"91000000","90","90","90","0.8821211162283505","0.8821211162283505","0.8821211162283505"
"92000000","91","91","91","0.8823889144131091","0.8823889144131091","0.8823889144131091"
"93000000","92","92","92","0.8806012763202373","0.8806012763202373","0.8806012763202373"
"94000000","93","93","93","0.8834419612606408","0.8834419612606408","0.8834419612606408"
"95000000","94","94","94","0.8830545146068777","0.8830545146068777","0.8830545146068777"
"96000000","95","95","95","0.8856410591933065","0.8856410591933065","0.8856410591933065"
"97000000","96","96","96","0.882765043565339","0.882765043565339","0.882765043565339"
"98000000","97","97","97","0.8799963790556485","0.8799963790556485","0.8799963790556485"
"99000000","98","98","98","0.8853261374021175","0.8853261374021175","0.8853261374021175"
"100000000","99","99","99","0.8821289678550499","0.8821289678550499","0.8821289678550499"
