"custom_step","lively-sky-199 - _step","lively-sky-199 - _step__MIN","lively-sky-199 - _step__MAX","lively-sky-199 - train_metrics/Usefulness","lively-sky-199 - train_metrics/Usefulness__MIN","lively-sky-199 - train_metrics/Usefulness__MAX"
"58000000","57","57","57","0.8981112833447669","0.8981112833447669","0.8981112833447669"
"59000000","58","58","58","0.8878844906728581","0.8878844906728581","0.8878844906728581"
"60000000","59","59","59","0.887712367374937","0.887712367374937","0.887712367374937"
"61000000","60","60","60","0.8933604579313568","0.8933604579313568","0.8933604579313568"
"62000000","61","61","61","0.8885443715826472","0.8885443715826472","0.8885443715826472"
"63000000","62","62","62","0.8949597599393138","0.8949597599393138","0.8949597599393138"
"64000000","63","63","63","0.8973638941682012","0.8973638941682012","0.8973638941682012"
"65000000","64","64","64","0.9061502712498315","0.9061502712498315","0.9061502712498315"
"66000000","65","65","65","0.8968553734042425","0.8968553734042425","0.8968553734042425"
"67000000","66","66","66","0.8921835806335572","0.8921835806335572","0.8921835806335572"
"68000000","67","67","67","0.8920120091758421","0.8920120091758421","0.8920120091758421"
"69000000","68","68","68","0.9061551929032959","0.9061551929032959","0.9061551929032959"
"70000000","69","69","69","0.908232331463661","0.908232331463661","0.908232331463661"
"71000000","70","70","70","0.9076875096101695","0.9076875096101695","0.9076875096101695"
"72000000","71","71","71","0.9155542787419588","0.9155542787419588","0.9155542787419588"
"73000000","72","72","72","0.9115159129275489","0.9115159129275489","0.9115159129275489"
"74000000","73","73","73","0.916617877382168","0.916617877382168","0.916617877382168"
"75000000","74","74","74","0.9057985844781048","0.9057985844781048","0.9057985844781048"
"76000000","75","75","75","0.9168547177258377","0.9168547177258377","0.9168547177258377"
"77000000","76","76","76","0.9146058220730163","0.9146058220730163","0.9146058220730163"
"78000000","77","77","77","0.908760625845099","0.908760625845099","0.908760625845099"
"79000000","78","78","78","0.9123412709195792","0.9123412709195792","0.9123412709195792"
"80000000","79","79","79","0.9146222598474386","0.9146222598474386","0.9146222598474386"
"81000000","80","80","80","0.9090522623226246","0.9090522623226246","0.9090522623226246"
"82000000","81","81","81","0.9172845771389743","0.9172845771389743","0.9172845771389743"
"83000000","82","82","82","0.9153893682804317","0.9153893682804317","0.9153893682804317"
"84000000","83","83","83","0.9228116550286579","0.9228116550286579","0.9228116550286579"
"85000000","84","84","84","0.9191142814072721","0.9191142814072721","0.9191142814072721"
"86000000","85","85","85","0.912331836389261","0.912331836389261","0.912331836389261"
"87000000","86","86","86","0.9125556109319809","0.9125556109319809","0.9125556109319809"
"88000000","87","87","87","0.9149718142753355","0.9149718142753355","0.9149718142753355"
