"custom_step","devoted-fog-184 - _step","devoted-fog-184 - _step__MIN","devoted-fog-184 - _step__MAX","devoted-fog-184 - train_metrics/Usefulness","devoted-fog-184 - train_metrics/Usefulness__MIN","devoted-fog-184 - train_metrics/Usefulness__MAX"
"41000000","40","40","40","0.8760375556668333","0.8760375556668333","0.8760375556668333"
"42000000","41","41","41","0.8798150745227806","0.8798150745227806","0.8798150745227806"
"43000000","42","42","42","0.8833326647898639","0.8833326647898639","0.8833326647898639"
"44000000","43","43","43","0.8857459598348165","0.8857459598348165","0.8857459598348165"
"45000000","44","44","44","0.8884625995230011","0.8884625995230011","0.8884625995230011"
"46000000","45","45","45","0.8801019779604276","0.8801019779604276","0.8801019779604276"
"47000000","46","46","46","0.881869154020071","0.881869154020071","0.881869154020071"
"48000000","47","47","47","0.8945957811553948","0.8945957811553948","0.8945957811553948"
"49000000","48","48","48","0.8846844550735115","0.8846844550735115","0.8846844550735115"
"50000000","49","49","49","0.8916482704494418","0.8916482704494418","0.8916482704494418"
"51000000","50","50","50","0.8988996351673963","0.8988996351673963","0.8988996351673963"
"52000000","51","51","51","0.8982748707081696","0.8982748707081696","0.8982748707081696"
"53000000","52","52","52","0.8940158095778663","0.8940158095778663","0.8940158095778663"
"54000000","53","53","53","0.8936789889262756","0.8936789889262756","0.8936789889262756"
"55000000","54","54","54","0.8829353470883128","0.8829353470883128","0.8829353470883128"
"56000000","55","55","55","0.904104910999557","0.904104910999557","0.904104910999557"
"57000000","56","56","56","0.9029538674468357","0.9029538674468357","0.9029538674468357"
"58000000","57","57","57","0.9033890377551029","0.9033890377551029","0.9033890377551029"
"59000000","58","58","58","0.9076913313337767","0.9076913313337767","0.9076913313337767"
"60000000","59","59","59","0.9098372691252371","0.9098372691252371","0.9098372691252371"
"61000000","60","60","60","0.9024376075969391","0.9024376075969391","0.9024376075969391"
"62000000","61","61","61","0.8999299897313053","0.8999299897313053","0.8999299897313053"
"63000000","62","62","62","0.896853921958646","0.896853921958646","0.896853921958646"
"64000000","63","63","63","0.8985133507515205","0.8985133507515205","0.8985133507515205"
"65000000","64","64","64","0.90555481630402","0.90555481630402","0.90555481630402"
"66000000","65","65","65","0.8972319698735289","0.8972319698735289","0.8972319698735289"
"67000000","66","66","66","0.9003807287457766","0.9003807287457766","0.9003807287457766"
"68000000","67","67","67","0.9004814767066065","0.9004814767066065","0.9004814767066065"
"69000000","68","68","68","0.9012179957422171","0.9012179957422171","0.9012179957422171"
"70000000","69","69","69","0.9104414049027435","0.9104414049027435","0.9104414049027435"
"71000000","70","70","70","0.8992894848480851","0.8992894848480851","0.8992894848480851"
"72000000","71","71","71","0.9091309938682667","0.9091309938682667","0.9091309938682667"
"73000000","72","72","72","0.9025871272798806","0.9025871272798806","0.9025871272798806"
"74000000","73","73","73","0.891315001459376","0.891315001459376","0.891315001459376"
"75000000","74","74","74","0.9026671564861409","0.9026671564861409","0.9026671564861409"
"76000000","75","75","75","0.9111399765117291","0.9111399765117291","0.9111399765117291"
"77000000","76","76","76","0.9115898374727286","0.9115898374727286","0.9115898374727286"
"78000000","77","77","77","0.9151228341542322","0.9151228341542322","0.9151228341542322"
"79000000","78","78","78","0.9159543859191995","0.9159543859191995","0.9159543859191995"
