"custom_step","lively-sky-199 - _step","lively-sky-199 - _step__MIN","lively-sky-199 - _step__MAX","lively-sky-199 - train_metrics/Weighted_Average73","lively-sky-199 - train_metrics/Weighted_Average73__MIN","lively-sky-199 - train_metrics/Weighted_Average73__MAX"
"53000000","52","52","52","0.8691747268534877","0.8691747268534877","0.8691747268534877"
"54000000","53","53","53","0.8716567039712436","0.8716567039712436","0.8716567039712436"
"55000000","54","54","54","0.8656496745448445","0.8656496745448445","0.8656496745448445"
"56000000","55","55","55","0.8706064152099653","0.8706064152099653","0.8706064152099653"
"57000000","56","56","56","0.865232772539755","0.865232772539755","0.865232772539755"
"58000000","57","57","57","0.8673172025923606","0.8673172025923606","0.8673172025923606"
"59000000","58","58","58","0.8598443017470055","0.8598443017470055","0.8598443017470055"
"60000000","59","59","59","0.8499197173470546","0.8499197173470546","0.8499197173470546"
"61000000","60","60","60","0.8604199121349784","0.8604199121349784","0.8604199121349784"
"62000000","61","61","61","0.8602378364842849","0.8602378364842849","0.8602378364842849"
"63000000","62","62","62","0.8650967285463164","0.8650967285463164","0.8650967285463164"
"64000000","63","63","63","0.8650581256566316","0.8650581256566316","0.8650581256566316"
"65000000","64","64","64","0.8810646301833789","0.8810646301833789","0.8810646301833789"
"66000000","65","65","65","0.865775676117885","0.865775676117885","0.865775676117885"
"67000000","66","66","66","0.8600887589650047","0.8600887589650047","0.8600887589650047"
"68000000","67","67","67","0.8654066261289186","0.8654066261289186","0.8654066261289186"
"69000000","68","68","68","0.8802445019987488","0.8802445019987488","0.8802445019987488"
"70000000","69","69","69","0.8871393457002275","0.8871393457002275","0.8871393457002275"
"71000000","70","70","70","0.8818035415409968","0.8818035415409968","0.8818035415409968"
"72000000","71","71","71","0.8813975344017216","0.8813975344017216","0.8813975344017216"
"73000000","72","72","72","0.8806090995954843","0.8806090995954843","0.8806090995954843"
"74000000","73","73","73","0.8863015622768998","0.8863015622768998","0.8863015622768998"
"75000000","74","74","74","0.8821105105504119","0.8821105105504119","0.8821105105504119"
"76000000","75","75","75","0.8879619100161749","0.8879619100161749","0.8879619100161749"
"77000000","76","76","76","0.8879675512500833","0.8879675512500833","0.8879675512500833"
"78000000","77","77","77","0.8792482882980631","0.8792482882980631","0.8792482882980631"
"79000000","78","78","78","0.8901307248744911","0.8901307248744911","0.8901307248744911"
"80000000","79","79","79","0.8856092613475401","0.8856092613475401","0.8856092613475401"
"81000000","80","80","80","0.8825489054863966","0.8825489054863966","0.8825489054863966"
"82000000","81","81","81","0.8878381313123224","0.8878381313123224","0.8878381313123224"
"83000000","82","82","82","0.8924818268215913","0.8924818268215913","0.8924818268215913"
"84000000","83","83","83","0.8951232808915356","0.8951232808915356","0.8951232808915356"
"85000000","84","84","84","0.8923414473398275","0.8923414473398275","0.8923414473398275"
"86000000","85","85","85","0.8896627086007791","0.8896627086007791","0.8896627086007791"
"87000000","86","86","86","0.88787979347987","0.88787979347987","0.88787979347987"
"88000000","87","87","87","0.8824662239979393","0.8824662239979393","0.8824662239979393"
"89000000","88","88","88","0.8944006068896977","0.8944006068896977","0.8944006068896977"
"90000000","89","89","89","0.8869975926411723","0.8869975926411723","0.8869975926411723"
"91000000","90","90","90","0.8925223710452413","0.8925223710452413","0.8925223710452413"
"92000000","91","91","91","0.8968741746416266","0.8968741746416266","0.8968741746416266"
"93000000","92","92","92","0.8931671142702619","0.8931671142702619","0.8931671142702619"
"94000000","93","93","93","0.8847027778462899","0.8847027778462899","0.8847027778462899"
"95000000","94","94","94","0.8970364499015737","0.8970364499015737","0.8970364499015737"
"96000000","95","95","95","0.8923591458412269","0.8923591458412269","0.8923591458412269"
"97000000","96","96","96","0.907051660430606","0.907051660430606","0.907051660430606"
"98000000","97","97","97","0.8949667496960794","0.8949667496960794","0.8949667496960794"
"99000000","98","98","98","0.8959515385701928","0.8959515385701928","0.8959515385701928"
"100000000","99","99","99","0.8991474408291407","0.8991474408291407","0.8991474408291407"
