"custom_step","true-sea-198 - _step","true-sea-198 - _step__MIN","true-sea-198 - _step__MAX","true-sea-198 - train_metrics/Weighted_Average73","true-sea-198 - train_metrics/Weighted_Average73__MIN","true-sea-198 - train_metrics/Weighted_Average73__MAX"
"49000000","48","48","48","0.8629981805996605","0.8629981805996605","0.8629981805996605"
"50000000","49","49","49","0.8580142408466154","0.8580142408466154","0.8580142408466154"
"51000000","50","50","50","0.8621984972516585","0.8621984972516585","0.8621984972516585"
"52000000","51","51","51","0.8695007603703051","0.8695007603703051","0.8695007603703051"
"53000000","52","52","52","0.8572177723276339","0.8572177723276339","0.8572177723276339"
"54000000","53","53","53","0.8621887650833717","0.8621887650833717","0.8621887650833717"
"55000000","54","54","54","0.8786106329502805","0.8786106329502805","0.8786106329502805"
"56000000","55","55","55","0.8715021847880777","0.8715021847880777","0.8715021847880777"
"57000000","56","56","56","0.8796655519942105","0.8796655519942105","0.8796655519942105"
"58000000","57","57","57","0.8765502011591604","0.8765502011591604","0.8765502011591604"
"59000000","58","58","58","0.8569305022319837","0.8569305022319837","0.8569305022319837"
"60000000","59","59","59","0.8715555852914671","0.8715555852914671","0.8715555852914671"
"61000000","60","60","60","0.877146418311505","0.877146418311505","0.877146418311505"
"62000000","61","61","61","0.8688772825965967","0.8688772825965967","0.8688772825965967"
"63000000","62","62","62","0.8755073761387788","0.8755073761387788","0.8755073761387788"
"64000000","63","63","63","0.8783824842042098","0.8783824842042098","0.8783824842042098"
"65000000","64","64","64","0.8819278719047488","0.8819278719047488","0.8819278719047488"
"66000000","65","65","65","0.8803404919197383","0.8803404919197383","0.8803404919197383"
"67000000","66","66","66","0.8809506362405578","0.8809506362405578","0.8809506362405578"
"68000000","67","67","67","0.8768834356741486","0.8768834356741486","0.8768834356741486"
"69000000","68","68","68","0.8865457321986583","0.8865457321986583","0.8865457321986583"
"70000000","69","69","69","0.8823063899781134","0.8823063899781134","0.8823063899781134"
"71000000","70","70","70","0.8757671980589875","0.8757671980589875","0.8757671980589875"
"72000000","71","71","71","0.875872441952506","0.875872441952506","0.875872441952506"
"73000000","72","72","72","0.8853638913454276","0.8853638913454276","0.8853638913454276"
"74000000","73","73","73","0.8904162536855422","0.8904162536855422","0.8904162536855422"
"75000000","74","74","74","0.8807166129427515","0.8807166129427515","0.8807166129427515"
"76000000","75","75","75","0.883837694033426","0.883837694033426","0.883837694033426"
"77000000","76","76","76","0.8773696575864446","0.8773696575864446","0.8773696575864446"
"78000000","77","77","77","0.894631392130816","0.894631392130816","0.894631392130816"
"79000000","78","78","78","0.88511876212155","0.88511876212155","0.88511876212155"
"80000000","79","79","79","0.8905769963812393","0.8905769963812393","0.8905769963812393"
"81000000","80","80","80","0.8924346727161911","0.8924346727161911","0.8924346727161911"
"82000000","81","81","81","0.8932847682807613","0.8932847682807613","0.8932847682807613"
"83000000","82","82","82","0.8940611152996087","0.8940611152996087","0.8940611152996087"
"84000000","83","83","83","0.9000253600057054","0.9000253600057054","0.9000253600057054"
"85000000","84","84","84","0.8955248634400754","0.8955248634400754","0.8955248634400754"
"86000000","85","85","85","0.885355943907781","0.885355943907781","0.885355943907781"
"87000000","86","86","86","0.8988859972066736","0.8988859972066736","0.8988859972066736"
"88000000","87","87","87","0.8953397430190679","0.8953397430190679","0.8953397430190679"
"89000000","88","88","88","0.8946997148738419","0.8946997148738419","0.8946997148738419"
"90000000","89","89","89","0.8987892896971579","0.8987892896971579","0.8987892896971579"
"91000000","90","90","90","0.8964974303213387","0.8964974303213387","0.8964974303213387"
"92000000","91","91","91","0.8983205795635574","0.8983205795635574","0.8983205795635574"
"93000000","92","92","92","0.8998908185595648","0.8998908185595648","0.8998908185595648"
"94000000","93","93","93","0.9012804331804349","0.9012804331804349","0.9012804331804349"
"95000000","94","94","94","0.8860156656223617","0.8860156656223617","0.8860156656223617"
"96000000","95","95","95","0.8906145153898408","0.8906145153898408","0.8906145153898408"
"97000000","96","96","96","0.893885471510756","0.893885471510756","0.893885471510756"
"98000000","97","97","97","0.9007495101216169","0.9007495101216169","0.9007495101216169"
"99000000","98","98","98","0.9021261625203838","0.9021261625203838","0.9021261625203838"
"100000000","99","99","99","0.9043883454516939","0.9043883454516939","0.9043883454516939"
