"custom_step","crimson-durian-196 - _step","crimson-durian-196 - _step__MIN","crimson-durian-196 - _step__MAX","crimson-durian-196 - train_metrics/Usefulness","crimson-durian-196 - train_metrics/Usefulness__MIN","crimson-durian-196 - train_metrics/Usefulness__MAX"
"36000000","35","35","35","0.9107239020498461","0.9107239020498461","0.9107239020498461"
"37000000","36","36","36","0.9085284108781685","0.9085284108781685","0.9085284108781685"
"38000000","37","37","37","0.9102255389539803","0.9102255389539803","0.9102255389539803"
"39000000","38","38","38","0.8969588442126555","0.8969588442126555","0.8969588442126555"
"40000000","39","39","39","0.9083691037120286","0.9083691037120286","0.9083691037120286"
"41000000","40","40","40","0.9203594909744579","0.9203594909744579","0.9203594909744579"
"42000000","41","41","41","0.9078487445997407","0.9078487445997407","0.9078487445997407"
"43000000","42","42","42","0.904080995196038","0.904080995196038","0.904080995196038"
"44000000","43","43","43","0.910383140510232","0.910383140510232","0.910383140510232"
"45000000","44","44","44","0.9012494366779059","0.9012494366779059","0.9012494366779059"
"46000000","45","45","45","0.9145129885297485","0.9145129885297485","0.9145129885297485"
"47000000","46","46","46","0.9066509948731359","0.9066509948731359","0.9066509948731359"
"48000000","47","47","47","0.9186044101211696","0.9186044101211696","0.9186044101211696"
"49000000","48","48","48","0.9079381342563438","0.9079381342563438","0.9079381342563438"
"50000000","49","49","49","0.9147783899601548","0.9147783899601548","0.9147783899601548"
"51000000","50","50","50","0.8940895847010352","0.8940895847010352","0.8940895847010352"
"52000000","51","51","51","0.9272929316029703","0.9272929316029703","0.9272929316029703"
"53000000","52","52","52","0.8988291013008264","0.8988291013008264","0.8988291013008264"
"54000000","53","53","53","0.9078328869243333","0.9078328869243333","0.9078328869243333"
"55000000","54","54","54","0.8962630367896918","0.8962630367896918","0.8962630367896918"
"56000000","55","55","55","0.9056227158580106","0.9056227158580106","0.9056227158580106"
"57000000","56","56","56","0.8901798164479998","0.8901798164479998","0.8901798164479998"
"58000000","57","57","57","0.8837300378814554","0.8837300378814554","0.8837300378814554"
"59000000","58","58","58","0.924728653385599","0.924728653385599","0.924728653385599"
"60000000","59","59","59","0.9091965171342863","0.9091965171342863","0.9091965171342863"
"61000000","60","60","60","0.9053826825757599","0.9053826825757599","0.9053826825757599"
"62000000","61","61","61","0.9157533992415764","0.9157533992415764","0.9157533992415764"
"63000000","62","62","62","0.9131873163783581","0.9131873163783581","0.9131873163783581"
"64000000","63","63","63","0.9105244790369671","0.9105244790369671","0.9105244790369671"
"65000000","64","64","64","0.9007700239736598","0.9007700239736598","0.9007700239736598"
"66000000","65","65","65","0.9080092156947258","0.9080092156947258","0.9080092156947258"
"67000000","66","66","66","0.8952297688297892","0.8952297688297892","0.8952297688297892"
"68000000","67","67","67","0.8849346309975993","0.8849346309975993","0.8849346309975993"
"69000000","68","68","68","0.90639812244037","0.90639812244037","0.90639812244037"
"70000000","69","69","69","0.9039061673372093","0.9039061673372093","0.9039061673372093"
"71000000","70","70","70","0.9338567672896521","0.9338567672896521","0.9338567672896521"
"72000000","71","71","71","0.9225589036881934","0.9225589036881934","0.9225589036881934"
"73000000","72","72","72","0.9239031928006988","0.9239031928006988","0.9239031928006988"
"74000000","73","73","73","0.921916138070692","0.921916138070692","0.921916138070692"
"75000000","74","74","74","0.9190250336645303","0.9190250336645303","0.9190250336645303"
"76000000","75","75","75","0.917024896496563","0.917024896496563","0.917024896496563"
"77000000","76","76","76","0.9189050592536505","0.9189050592536505","0.9189050592536505"
"78000000","77","77","77","0.9069232186457912","0.9069232186457912","0.9069232186457912"
"79000000","78","78","78","0.9176441735223065","0.9176441735223065","0.9176441735223065"
