"custom_step","breezy-serenity-169 - _step","breezy-serenity-169 - _step__MIN","breezy-serenity-169 - _step__MAX","breezy-serenity-169 - train_metrics/Usefulness","breezy-serenity-169 - train_metrics/Usefulness__MIN","breezy-serenity-169 - train_metrics/Usefulness__MAX"
"73000000","72","72","72","0.9182406294017572","0.9182406294017572","0.9182406294017572"
"74000000","73","73","73","0.9155242540515621","0.9155242540515621","0.9155242540515621"
"75000000","74","74","74","0.9137741841054671","0.9137741841054671","0.9137741841054671"
"76000000","75","75","75","0.9164648608172483","0.9164648608172483","0.9164648608172483"
"77000000","76","76","76","0.9188125437389144","0.9188125437389144","0.9188125437389144"
"78000000","77","77","77","0.9144886614029141","0.9144886614029141","0.9144886614029141"
"79000000","78","78","78","0.917645219674692","0.917645219674692","0.917645219674692"
"80000000","79","79","79","0.9153229901417983","0.9153229901417983","0.9153229901417983"
"81000000","80","80","80","0.9141335637440927","0.9141335637440927","0.9141335637440927"
"82000000","81","81","81","0.9146802881638727","0.9146802881638727","0.9146802881638727"
"83000000","82","82","82","0.9176614412015662","0.9176614412015662","0.9176614412015662"
"84000000","83","83","83","0.9156772648826811","0.9156772648826811","0.9156772648826811"
"85000000","84","84","84","0.916369564231003","0.916369564231003","0.916369564231003"
"86000000","85","85","85","0.9137157006350219","0.9137157006350219","0.9137157006350219"
"87000000","86","86","86","0.9134908850357837","0.9134908850357837","0.9134908850357837"
"88000000","87","87","87","0.9122611993427976","0.9122611993427976","0.9122611993427976"
"89000000","88","88","88","0.9132072897460836","0.9132072897460836","0.9132072897460836"
"90000000","89","89","89","0.9087034411008885","0.9087034411008885","0.9087034411008885"
"91000000","90","90","90","0.908974477949513","0.908974477949513","0.908974477949513"
"92000000","91","91","91","0.9095660382645194","0.9095660382645194","0.9095660382645194"
"93000000","92","92","92","0.9101506278714151","0.9101506278714151","0.9101506278714151"
"94000000","93","93","93","0.9101333987277629","0.9101333987277629","0.9101333987277629"
"95000000","94","94","94","0.9116147107964683","0.9116147107964683","0.9116147107964683"
"96000000","95","95","95","0.9101531226325615","0.9101531226325615","0.9101531226325615"
"97000000","96","96","96","0.9085977393904432","0.9085977393904432","0.9085977393904432"
"98000000","97","97","97","0.9075572700311698","0.9075572700311698","0.9075572700311698"
"99000000","98","98","98","0.903908498604236","0.903908498604236","0.903908498604236"
"100000000","99","99","99","0.9103298325373425","0.9103298325373425","0.9103298325373425"
