"custom_step","splendid-dragon-200 - _step","splendid-dragon-200 - _step__MIN","splendid-dragon-200 - _step__MAX","splendid-dragon-200 - train_metrics/Neutrality","splendid-dragon-200 - train_metrics/Neutrality__MIN","splendid-dragon-200 - train_metrics/Neutrality__MAX"
"90000000","89","89","89","0.8267600115921927","0.8267600115921927","0.8267600115921927"
"91000000","90","90","90","0.8063612205904459","0.8063612205904459","0.8063612205904459"
"92000000","91","91","91","0.8475360695191111","0.8475360695191111","0.8475360695191111"
"93000000","92","92","92","0.8493403017417214","0.8493403017417214","0.8493403017417214"
"94000000","93","93","93","0.8351994664529396","0.8351994664529396","0.8351994664529396"
"95000000","94","94","94","0.8281950965287884","0.8281950965287884","0.8281950965287884"
"96000000","95","95","95","0.8467152803734866","0.8467152803734866","0.8467152803734866"
"97000000","96","96","96","0.8308565221164176","0.8308565221164176","0.8308565221164176"
"98000000","97","97","97","0.8557288739938123","0.8557288739938123","0.8557288739938123"
"99000000","98","98","98","0.8319546168176974","0.8319546168176974","0.8319546168176974"
"100000000","99","99","99","0.819586815533622","0.819586815533622","0.819586815533622"
